domain,intent_group,intent,nn-NO,bm-NO,duration,transcription,spontaneous,channel_1,channel_2,speaker,dialect
e-post,e-post,les opp ny e-post,kan eg vere så snill å få høyre e-posten høgt,kan jeg være så snill å få høre e-posten høyt,4.259,kan eg f£ være så snill å få høre e-posten høgt,False,KNN20211012-0937_mix_98111_102370_1.wav,KNN20211012-0937_mix_98111_102370_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les den nyaste e-mailen min,les den nyeste e-mailen min,3.281,les den nyeste e-mailen min,False,KNN20211012-0937_mix_102370_105651_1.wav,KNN20211012-0937_mix_102370_105651_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les den nyaste e-posten min,les den nyeste e-posten min,3.215,les den nyeste e-posten min,False,KNN20211012-0937_mix_105651_108866_1.wav,KNN20211012-0937_mix_105651_108866_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les e-posten for meg,les e-posten for meg,2.852,les e-posten for meg,False,KNN20211012-0937_mix_108866_111718_1.wav,KNN20211012-0937_mix_108866_111718_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les e-posten eg fekk,les e-posten jeg fikk,3.292,les e-posten som eg fekk,False,KNN20211012-0937_mix_111718_115010_1.wav,KNN20211012-0937_mix_111718_115010_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les e-posten eg fekk no nettopp,les e-posten jeg fikk nå nettopp,4.992,les e-posten som eg fekk no nettopp,False,KNN20211012-0937_mix_115010_120002_1.wav,KNN20211012-0937_mix_115010_120002_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les høgt den e-posten,les høyt den e-posten,3.296,les høgt den e-posten,False,KNN20211012-0937_mix_120002_123298_1.wav,KNN20211012-0937_mix_120002_123298_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les høgt e-posten,les høyt e-posten,1.315,les høgt e-posten,False,KNN20211012-0937_mix_130041_131356_1.wav,KNN20211012-0937_mix_130041_131356_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les opp den nye e-posten min,les opp den nye e-posten min,2.086,les opp den nye e-posten min,False,KNN20211012-0937_mix_131639_133725_1.wav,KNN20211012-0937_mix_131639_133725_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les opp den nyaste mailen,les opp den nyeste mailen,2.005,les opp den nyeste mailen,False,KNN20211012-0937_mix_133725_135730_1.wav,KNN20211012-0937_mix_133725_135730_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les opp e-posten takk,les opp e-posten takk,2.668,les opp e-posten takk,False,KNN20211012-0937_mix_135730_138398_1.wav,KNN20211012-0937_mix_135730_138398_2.wav,KNN,north
e-post,e-post,les opp ny e-post,les opp nyaste e-post,les opp nyeste e-post,3.167,les opp nyeste e-post,False,KNN20211012-0937_mix_138398_141565_1.wav,KNN20211012-0937_mix_138398_141565_2.wav,KNN,north
e-post,e-post,les opp ny e-post,ver så snill og les høgt den nye mailen,vær så snill og les høyt den nye mailen,2.785,vær så snill og les høgt den nye mailen,False,KNN20211012-0937_mix_141565_144350_1.wav,KNN20211012-0937_mix_141565_144350_2.wav,KNN,north
e-post,e-post,les opp ny e-post,du må lese den nye e-posten høgt for meg,du må lese den nye e-posten høyt for meg,4.377,du må lese den nye høg£ eee e-posten høgt for meg,False,KNN20211014-0930_mix_57501_61878_1.wav,KNN20211014-0930_mix_57501_61878_2.wav,KNN,north
e-post,e-post,les opp ny e-post,du må lese opp e-posten,du må lese opp e-posten,2.548,du må lese opp e-posten,False,KNN20211014-0930_mix_61878_64426_1.wav,KNN20211014-0930_mix_61878_64426_2.wav,KNN,north
e-post,e-post,les opp ny e-post,få høyre e-mailen opplese,få høre e-mailen opplest,3.069,få høre e-mailen opplest,False,KNN20211014-0930_mix_64426_67495_1.wav,KNN20211014-0930_mix_64426_67495_2.wav,KNN,north
e-post,e-post,les opp ny e-post,få høyre kva e-mailar eg har,få høre hvilke e-mailer jeg har,3.448,få høre hvilke e-mailer eg har,False,KNN20211014-0930_mix_67950_71398_1.wav,KNN20211014-0930_mix_67950_71398_2.wav,KNN,north
e-post,e-post,les opp ny e-post,eg vil gjerne høyre den e-posten,jeg vil gjerne høre den e-posten,3.943,eg vil gjerne høre den e-posten,False,KNN20211014-0930_mix_71398_75341_1.wav,KNN20211014-0930_mix_71398_75341_2.wav,KNN,north
e-post,e-post,les opp ny e-post,eg vil høyre e-posten lese opp,jeg vil høre e-posten lest opp,3.386,eg vil høre e-posten lest opp,False,KNN20211014-0930_mix_75341_78727_1.wav,KNN20211014-0930_mix_75341_78727_2.wav,KNN,north
e-post,e-post,les opp ny e-post,eg vil høyre mailen lese opp høgt,jeg vil høre mailen lest opp høyt,3.958,eg vil høre mailen lest opp høgt,False,KNN20211014-0930_mix_78727_82685_1.wav,KNN20211014-0930_mix_78727_82685_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du lese den e-mailen høgt,kan du lese den e-mailen høyt,3.242,kan du lese den e-mailen høgt,False,KNN20211014-0930_mix_82685_85927_1.wav,KNN20211014-0930_mix_82685_85927_2.wav,KNN,north
e-post,e-post,les opp ny e-post,kan du lese e-posten,kan du lese e-posten,2.707,kan du lese e-posten,False,KNN20211014-0930_mix_85927_88634_1.wav,KNN20211014-0930_mix_85927_88634_2.wav,KNN,north
